# Wavelength Flux
8589.2500000000 2509.7085750545
8589.5000000000 2516.9316056197
8589.7500000000 2516.4693955414
8590.0000000000 2512.9107498347
8590.2500000000 2501.6664646810
8590.5000000000 2493.5934918379
8590.7500000000 2492.7087174693
8591.0000000000 2502.2041294820
8591.2500000000 2510.2076578946
8591.5000000000 2512.0949226743
8591.7500000000 2507.6046425154
8592.0000000000 2504.3004424169
8592.2500000000 2511.3186882893
8592.5000000000 2518.6410745601
8592.7500000000 2520.7655007713
8593.0000000000 2514.3047790027
8593.2500000000 2506.8708465901
8593.5000000000 2500.7773512042
8593.7500000000 2494.6975137730
8594.0000000000 2496.0094479868
8594.2500000000 2507.4495493549
8594.5000000000 2509.0437360477
8594.7500000000 2486.9018480893
8595.0000000000 2429.7370995280
8595.2500000000 2379.6262477108
8595.5000000000 2398.7313677901
8595.7500000000 2462.1756527699
8596.0000000000 2500.8171427076
8596.2500000000 2511.9675271129
8596.5000000000 2517.2589643313
8596.7500000000 2521.1334156200
8597.0000000000 2520.5508353979
8597.2500000000 2520.8826646614
8597.5000000000 2514.5884814152
8597.7500000000 2493.3188764822
8598.0000000000 2449.7287510556
8598.2500000000 2415.1585245682
8598.5000000000 2429.8046806391
8598.7500000000 2463.0256747253
8599.0000000000 2474.3034502103
8599.2500000000 2452.7990949019
8599.5000000000 2442.0534526730
8599.7500000000 2466.2376725444
8600.0000000000 2495.6812789040
8600.2500000000 2508.4544874783
8600.5000000000 2491.2504467788
8600.7500000000 2425.5422870050
8601.0000000000 2327.1167595244
8601.2500000000 2298.2428792496
8601.5000000000 2376.5829190916
8601.7500000000 2468.3983483427
8602.0000000000 2508.3001391351
8602.2500000000 2518.7629447830
8602.5000000000 2516.5347995637
8602.7500000000 2511.3754849332
8603.0000000000 2492.4393860686
8603.2500000000 2477.4903221022
8603.5000000000 2475.0030367203
8603.7500000000 2494.6537770495
8604.0000000000 2511.6735876545
8604.2500000000 2515.5921653532
8604.5000000000 2513.1142220601
8604.7500000000 2504.2877139443
8605.0000000000 2498.9609072030
8605.2500000000 2497.5249210976
8605.5000000000 2503.6131182021
8605.7500000000 2503.3930878953
8606.0000000000 2495.6168040732
8606.2500000000 2494.5535248823
8606.5000000000 2497.5566235937
8606.7500000000 2503.7606385440
8607.0000000000 2504.4049932029
8607.2500000000 2501.2203801062
8607.5000000000 2500.5403160850
8607.7500000000 2498.8232436943
8608.0000000000 2491.5932826449
8608.2500000000 2476.2701963776
8608.5000000000 2458.8839039341
8608.7500000000 2448.8630610080
8609.0000000000 2436.3566152269
8609.2500000000 2419.2915967703
8609.5000000000 2414.7406038710
8609.7500000000 2452.3144187645
8610.0000000000 2485.7060855152
8610.2500000000 2494.7726732596
8610.5000000000 2497.8741402042
8610.7500000000 2498.6026654779
8611.0000000000 2502.5338289454
8611.2500000000 2504.5863239896
8611.5000000000 2503.8757330226
8611.7500000000 2509.3402046466
8612.0000000000 2503.2268321443
8612.2500000000 2492.3904419586
8612.5000000000 2484.4667216847
8612.7500000000 2490.6669246568
8613.0000000000 2499.5914543557
8613.2500000000 2497.1219756915
8613.5000000000 2458.1288447704
8613.7500000000 2342.0607043606
8614.0000000000 2182.9513654585
8614.2500000000 2154.4670896259
8614.5000000000 2284.1767418717
8614.7500000000 2424.2429320681
8615.0000000000 2485.7703832088
8615.2500000000 2504.2207754333
8615.5000000000 2505.4410301832
8615.7500000000 2491.8631324135
8616.0000000000 2461.1769201424
8616.2500000000 2433.3589988346
8616.5000000000 2442.7965823569
8616.7500000000 2476.7240806355
8617.0000000000 2501.9113559005
8617.2500000000 2508.8962497797
8617.5000000000 2508.0377916415
8617.7500000000 2503.8369536077
